Category: All categories

Week,snapchat: (Worldwide)
2011-08-20,0
2011-08-27,0
2011-09-03,0
2011-09-10,0
2011-09-17,0
2011-09-24,0
2011-10-01,0
2011-10-08,0
2011-10-15,0
2011-10-22,0
2011-10-29,0
2011-11-05,0
2011-11-12,0
2011-11-19,0
2011-11-26,0
2011-12-03,0
2011-12-10,0
2011-12-17,0
2011-12-24,0
2011-12-31,0
2012-01-07,0
2012-01-14,0
2012-01-21,0
2012-01-28,0
2012-02-04,0
2012-02-11,0
2012-02-18,0
2012-02-25,0
2012-03-03,0
2012-03-10,0
2012-03-17,0
2012-03-24,0
2012-03-31,0
2012-04-07,0
2012-04-14,0
2012-04-21,0
2012-04-28,0
2012-05-05,0
2012-05-12,0
2012-05-19,0
2012-05-26,0
2012-06-02,0
2012-06-09,0
2012-06-16,0
2012-06-23,0
2012-06-30,0
2012-07-07,0
2012-07-14,0
2012-07-21,0
2012-07-28,0
2012-08-04,0
2012-08-11,0
2012-08-18,0
2012-08-25,0
2012-09-01,0
2012-09-08,0
2012-09-15,1
2012-09-22,1
2012-09-29,1
2012-10-06,1
2012-10-13,1
2012-10-20,1
2012-10-27,2
2012-11-03,2
2012-11-10,2
2012-11-17,2
2012-11-24,3
2012-12-01,3
2012-12-08,4
2012-12-15,5
2012-12-22,6
2012-12-29,6
2013-01-05,4
2013-01-12,3
2013-01-19,3
2013-01-26,3
2013-02-02,2
2013-02-09,3
2013-02-16,3
2013-02-23,3
2013-03-02,4
2013-03-09,4
2013-03-16,4
2013-03-23,5
2013-03-30,5
2013-04-06,5
2013-04-13,6
2013-04-20,6
2013-04-27,7
2013-05-04,8
2013-05-11,8
2013-05-18,8
2013-05-25,13
2013-06-01,12
2013-06-08,11
2013-06-15,10
2013-06-22,10
2013-06-29,10
2013-07-06,10
2013-07-13,9
2013-07-20,9
2013-07-27,9
2013-08-03,9
2013-08-10,10
2013-08-17,9
2013-08-24,9
2013-08-31,9
2013-09-07,9
2013-09-14,10
2013-09-21,9
2013-09-28,11
2013-10-05,10
2013-10-12,10
2013-10-19,10
2013-10-26,10
2013-11-02,10
2013-11-09,19
2013-11-16,15
2013-11-23,13
2013-11-30,12
2013-12-07,13
2013-12-14,15
2013-12-21,27
2013-12-28,29
2014-01-04,21
2014-01-11,18
2014-01-18,17
2014-01-25,16
2014-02-01,16
2014-02-08,16
2014-02-15,16
2014-02-22,16
2014-03-01,17
2014-03-08,16
2014-03-15,17
2014-03-22,17
2014-03-29,17
2014-04-05,18
2014-04-12,19
2014-04-19,19
2014-04-26,35
2014-05-03,24
2014-05-10,20
2014-05-17,19
2014-05-24,19
2014-05-31,19
2014-06-07,18
2014-06-14,19
2014-06-21,19
2014-06-28,18
2014-07-05,19
2014-07-12,22
2014-07-19,20
2014-07-26,20
2014-08-02,20
2014-08-09,19
2014-08-16,19
2014-08-23,20
2014-08-30,20
2014-09-06,19
2014-09-13,19
2014-09-20,21
2014-09-27,20
2014-10-04,29
2014-10-11,37
2014-10-18,23
2014-10-25,22
2014-11-01,22
2014-11-08,22
2014-11-15,24
2014-11-22,23
2014-11-29,22
2014-12-06,24
2014-12-13,25
2014-12-20,30
2014-12-27,31
2015-01-03,26
2015-01-10,25
2015-01-17,25
2015-01-24,36
2015-01-31,26
2015-02-07,25
2015-02-14,26
2015-02-21,24
2015-02-28,24
2015-03-07,24
2015-03-14,25
2015-03-21,24
2015-03-28,26
2015-04-04,64
2015-04-11,41
2015-04-18,35
2015-04-25,39
2015-05-02,36
2015-05-09,36
2015-05-16,33
2015-05-23,34
2015-05-30,34
2015-06-06,39
2015-06-13,37
2015-06-20,37
2015-06-27,39
2015-07-04,38
2015-07-11,38
2015-07-18,40
2015-07-25,38
2015-08-01,42
2015-08-08,39
2015-08-15,37
2015-08-22,35
2015-08-29,35
2015-09-05,34
2015-09-12,100
2015-09-19,64
2015-09-26,71
2015-10-03,48
2015-10-10,44
2015-10-17,41
2015-10-24,52
2015-10-31,44
2015-11-07,42
2015-11-14,38
2015-11-21,38
2015-11-28,38
2015-12-05,44
2015-12-12,43
2015-12-19,49
2015-12-26,52
2016-01-02,47
2016-01-09,43
2016-01-16,45
2016-01-23,46
2016-01-30,47
2016-02-06,49
2016-02-13,50
2016-02-20,51
2016-02-27,54
2016-03-05,55
2016-03-12,55
2016-03-19,58
2016-03-26,71
2016-04-02,57
2016-04-09,57
2016-04-16,60
2016-04-23,61
2016-04-30,58
2016-05-07,55
2016-05-14,56
2016-05-21,61
2016-05-28,62
2016-06-04,59
2016-06-11,58
2016-06-18,60
2016-06-25,60
2016-07-02,64
2016-07-09,62
2016-07-16,67
2016-07-23,62
2016-07-30,72
2016-08-06,54
2016-08-13,54
